ResponseID,Mode,gender,age,Stimulus,RecommendationFollowed
R_00nEfCz0IZ0B2Kd,PermanentVisual,1,26,brownies,0
R_00nEfCz0IZ0B2Kd,PermanentVisual,1,26,hotel,0
R_00nEfCz0IZ0B2Kd,PermanentVisual,1,26,shampoo,1
R_00nEfCz0IZ0B2Kd,PermanentVisual,1,26,toaster,0
R_00SmZO4cuJfHLdn,DisappearingVisual,2,73,brownies,0
R_00SmZO4cuJfHLdn,DisappearingVisual,2,73,hotel,0
R_00SmZO4cuJfHLdn,DisappearingVisual,2,73,shampoo,1
R_00SmZO4cuJfHLdn,DisappearingVisual,2,73,toaster,1
R_01hSrx2JUkiXILn,DisappearingVisual,2,41,brownies,1
R_01hSrx2JUkiXILn,DisappearingVisual,2,41,hotel,0
R_01hSrx2JUkiXILn,DisappearingVisual,2,41,shampoo,0
R_01hSrx2JUkiXILn,DisappearingVisual,2,41,toaster,0
R_0333d7TMYclS6dj,DisappearingVisual,1,46,brownies,1
R_0333d7TMYclS6dj,DisappearingVisual,1,46,hotel,1
R_0333d7TMYclS6dj,DisappearingVisual,1,46,shampoo,1
R_0333d7TMYclS6dj,DisappearingVisual,1,46,toaster,1
R_03wGg7YPGgl2Leh,PermanentVisual,2,21,brownies,1
R_03wGg7YPGgl2Leh,PermanentVisual,2,21,hotel,1
R_03wGg7YPGgl2Leh,PermanentVisual,2,21,shampoo,0
R_03wGg7YPGgl2Leh,PermanentVisual,2,21,toaster,0
R_0BXZ6aZLXwFSZqh,DisappearingVisual,1,46,brownies,0
R_0BXZ6aZLXwFSZqh,DisappearingVisual,1,46,hotel,1
R_0BXZ6aZLXwFSZqh,DisappearingVisual,1,46,shampoo,1
R_0BXZ6aZLXwFSZqh,DisappearingVisual,1,46,toaster,1
R_0c60hAKL18PI2fT,DisappearingVisual,1,54,brownies,0
R_0c60hAKL18PI2fT,DisappearingVisual,1,54,hotel,0
R_0c60hAKL18PI2fT,DisappearingVisual,1,54,shampoo,0
R_0c60hAKL18PI2fT,DisappearingVisual,1,54,toaster,0
R_0CHfWUk102Avdjr,Auditory,2,34,brownies,0
R_0CHfWUk102Avdjr,Auditory,2,34,hotel,0
R_0CHfWUk102Avdjr,Auditory,2,34,shampoo,0
R_0CHfWUk102Avdjr,Auditory,2,34,toaster,1
R_0cUKWP0pw6FDdK1,PermanentVisual,1,29,brownies,1
R_0cUKWP0pw6FDdK1,PermanentVisual,1,29,hotel,1
R_0cUKWP0pw6FDdK1,PermanentVisual,1,29,shampoo,1
R_0cUKWP0pw6FDdK1,PermanentVisual,1,29,toaster,1
R_0cxCCuF4e9EyVA5,PermanentVisual,2,23,brownies,0
R_0cxCCuF4e9EyVA5,PermanentVisual,2,23,hotel,1
R_0cxCCuF4e9EyVA5,PermanentVisual,2,23,shampoo,0
R_0cxCCuF4e9EyVA5,PermanentVisual,2,23,toaster,1
R_0dfCTN3ZscMO8Vj,PermanentVisual,1,32,brownies,0
R_0dfCTN3ZscMO8Vj,PermanentVisual,1,32,hotel,1
R_0dfCTN3ZscMO8Vj,PermanentVisual,1,32,shampoo,0
R_0dfCTN3ZscMO8Vj,PermanentVisual,1,32,toaster,0
R_0dHBnIZrP0EkQXT,PermanentVisual,2,65,brownies,1
R_0dHBnIZrP0EkQXT,PermanentVisual,2,65,hotel,0
R_0dHBnIZrP0EkQXT,PermanentVisual,2,65,shampoo,1
R_0dHBnIZrP0EkQXT,PermanentVisual,2,65,toaster,0
R_0eVibc16Q5NLp4t,PermanentVisual,2,56,brownies,1
R_0eVibc16Q5NLp4t,PermanentVisual,2,56,hotel,0
R_0eVibc16Q5NLp4t,PermanentVisual,2,56,shampoo,1
R_0eVibc16Q5NLp4t,PermanentVisual,2,56,toaster,0
R_0fwfDYuYfC39cul,DisappearingVisual,2,52,brownies,1
R_0fwfDYuYfC39cul,DisappearingVisual,2,52,hotel,1
R_0fwfDYuYfC39cul,DisappearingVisual,2,52,shampoo,1
R_0fwfDYuYfC39cul,DisappearingVisual,2,52,toaster,1
R_0Gr4qdwgCBrEBr3,DisappearingVisual,2,30,brownies,1
R_0Gr4qdwgCBrEBr3,DisappearingVisual,2,30,hotel,0
R_0Gr4qdwgCBrEBr3,DisappearingVisual,2,30,shampoo,0
R_0Gr4qdwgCBrEBr3,DisappearingVisual,2,30,toaster,0
R_0HRIRUAoAEAXrHP,Auditory,1,20,brownies,0
R_0HRIRUAoAEAXrHP,Auditory,1,20,hotel,1
R_0HRIRUAoAEAXrHP,Auditory,1,20,shampoo,1
R_0HRIRUAoAEAXrHP,Auditory,1,20,toaster,0
R_0iePXgw2yk49ngZ,PermanentVisual,1,33,brownies,1
R_0iePXgw2yk49ngZ,PermanentVisual,1,33,hotel,1
R_0iePXgw2yk49ngZ,PermanentVisual,1,33,shampoo,1
R_0iePXgw2yk49ngZ,PermanentVisual,1,33,toaster,1
R_0IXlKdASZPnrEKR,PermanentVisual,1,32,brownies,0
R_0IXlKdASZPnrEKR,PermanentVisual,1,32,hotel,0
R_0IXlKdASZPnrEKR,PermanentVisual,1,32,shampoo,0
R_0IXlKdASZPnrEKR,PermanentVisual,1,32,toaster,1
R_0IYHPv3Q1PxFer7,PermanentVisual,1,28,brownies,1
R_0IYHPv3Q1PxFer7,PermanentVisual,1,28,hotel,0
R_0IYHPv3Q1PxFer7,PermanentVisual,1,28,shampoo,0
R_0IYHPv3Q1PxFer7,PermanentVisual,1,28,toaster,1
R_0izeLm5jMr9ykuZ,Auditory,1,44,brownies,1
R_0izeLm5jMr9ykuZ,Auditory,1,44,hotel,1
R_0izeLm5jMr9ykuZ,Auditory,1,44,shampoo,0
R_0izeLm5jMr9ykuZ,Auditory,1,44,toaster,1
R_0JQENWqu4iXjT7b,Auditory,2,70,brownies,1
